FEATURE,WEIGHT0
"('AntDNA', 'MEAN_VALUE')",0.0
"('AntDNA', 'MEASURE_COUNTS')",0.0
"('AntDNA', 'MEDIAN_VALUE')",0.00045574129112951786
"('AntDNA', 'MIN_VALUE')",0.0005028310544350095
"('AntDNA', 'STD_VALUE')",0.0
"('AtyLym', 'MAX_VALUE')",0.00011517249126824759
"('AtyLym', 'MEAN_VALUE')",0.0
"('AtyLym', 'MEASURE_COUNTS')",0.00011307728574841092
"('AtyLym', 'MEDIAN_VALUE')",0.0003670850123724681
"('AtyLym', 'MIN_VALUE')",0.0
"('AtyLym', 'STD_VALUE')",0.0007657449498460737
"('BASOA', 'MAX_VALUE')",0.00014937996840388176
"('BASOA', 'MEAN_VALUE')",0.0
"('BASOA', 'MEASURE_COUNTS')",0.0
"('BASOA', 'MEDIAN_VALUE')",0.00042605560506196955
"('BASOA', 'MIN_VALUE')",8.140544568733064e-05
"('BASOA', 'STD_VALUE')",0.00017367074578268738
"('BASOAB', 'MAX_VALUE')",0.002420899426466579
"('BASOAB', 'MEAN_VALUE')",0.0
"('BASOAB', 'MEASURE_COUNTS')",0.0
"('BASOAB', 'MEDIAN_VALUE')",0.0010309944863805998
"('BASOAB', 'MIN_VALUE')",0.002055598581136527
"('BASOAB', 'STD_VALUE')",2.1822587826905443e-05
"('BASOM', 'MAX_VALUE')",0.0
"('BASOM', 'MEAN_VALUE')",0.0008618820654661255
"('BASOM', 'MEASURE_COUNTS')",0.0
"('BASOM', 'MEDIAN_VALUE')",0.0003899844120573096
"('BASOM', 'MIN_VALUE')",0.0003405161727158664
"('BASOM', 'STD_VALUE')",0.0
"('BASORE', 'MAX_VALUE')",0.0004942412018388915
"('BASORE', 'MEAN_VALUE')",0.0
"('BASORE', 'MEASURE_COUNTS')",0.0
"('BASORE', 'MEDIAN_VALUE')",0.0
"('BASORE', 'MIN_VALUE')",1.4797114183802267e-08
"('BASORE', 'STD_VALUE')",0.00025394170324965034
"('BAbs', 'MAX_VALUE')",3.2442735785578526e-06
"('BAbs', 'MEAN_VALUE')",0.0
"('BAbs', 'MEASURE_COUNTS')",0.00017703774781444896
"('BAbs', 'MEDIAN_VALUE')",0.0005220031640343622
"('BAbs', 'MIN_VALUE')",0.000126428944229843
"('BAbs', 'STD_VALUE')",5.602464411168419e-06
"('BEVN', 'MAX_VALUE')",0.000634778044227219
"('BEVN', 'MEAN_VALUE')",0.00034437139037330546
"('BEVN', 'MEASURE_COUNTS')",0.0
