FEATURE,WEIGHT0
DURATION_BF_BASELINE,0.004428119802731157
SMOKING,0.015150156651834031
MIN_BMI,0.003244757107680513
MAX_BMI,0.003058548940050309
MEDIAN_BMI,0.0009264524742992864
MEAN_BMI,0.0019423782526004252
STD_BMI,0.004596819464642054
BMI_MEASURE_COUNTS,0.0007776668243644146
MIN_SYSTOLIC,0.00015279973522553213
MAX_SYSTOLIC,0.002281372884358762
MEDIAN_SYSTOLIC,0.0030343691617020735
MEAN_SYSTOLIC,0.007090610381692828
STD_SYSTOLIC,0.001852020384977765
MIN_DIASTOLIC,0.0006160954649368191
MAX_DIASTOLIC,0.0016832996272200548
MEDIAN_DIASTOLIC,0.0013903135410648915
MEAN_DIASTOLIC,0.0022766162044593093
STD_DIASTOLIC,0.0015682646700072897
SYSTOLIC_MEASURE_COUNTS,0.00046662060246962215
"('%SAT', 'MAX_VALUE')",0.0
"('%SAT', 'MEAN_VALUE')",0.001016347683186813
"('%SAT', 'MEASURE_COUNTS')",0.0
"('%SAT', 'MEDIAN_VALUE')",0.0007933445574357704
"('%SAT', 'MIN_VALUE')",0.0
"('%SAT', 'STD_VALUE')",0.0
"('125DHy', 'MAX_VALUE')",5.513154437085722e-06
"('125DHy', 'MEAN_VALUE')",0.0
"('125DHy', 'MEASURE_COUNTS')",0.0
"('125DHy', 'MEDIAN_VALUE')",4.846637493557212e-05
"('125DHy', 'MIN_VALUE')",0.0015129207725748655
"('125DHy', 'STD_VALUE')",0.0
"('25DTot', 'MAX_VALUE')",0.0
"('25DTot', 'MEAN_VALUE')",0.0013263576106106862
"('25DTot', 'MEASURE_COUNTS')",0.0
"('25DTot', 'MEDIAN_VALUE')",0.0
"('25DTot', 'MIN_VALUE')",2.03414794439314e-05
"('25DTot', 'STD_VALUE')",0.0
"('25HyD2', 'MAX_VALUE')",0.0
"('25HyD2', 'MEAN_VALUE')",0.0007191294985459491
"('25HyD2', 'MEASURE_COUNTS')",0.0
"('25HyD2', 'MEDIAN_VALUE')",0.00023132867537189013
"('25HyD2', 'MIN_VALUE')",0.0
"('25HyD2', 'STD_VALUE')",5.2000271977264295e-05
"('25HyD3', 'MAX_VALUE')",0.0
"('25HyD3', 'MEAN_VALUE')",0.0
"('25HyD3', 'MEASURE_COUNTS')",0.0
"('25HyD3', 'MEDIAN_VALUE')",0.0005086472749108617
"('25HyD3', 'MIN_VALUE')",0.0008630211390079343
"('25HyD3', 'STD_VALUE')",0.0
"('A-1Gg/', 'MAX_VALUE')",2.8940075709761808e-05
